#{"t_start": 1729511790.5134616, "env_id": "CarRacingCustomTest-v0"}
r,l,t
97594.611562,1000,57473.318678
143355.518764,1000,57593.701872
52812.384961,1000,57661.771448
167623.957461,1000,57729.606047
144372.796921,1000,57798.571516
152322.695023,1000,57867.0409
151020.53675,1000,57935.712272
146477.297115,1000,58055.564266
171931.095687,1000,58124.521338
145360.653325,1000,58193.782778
134052.887185,1000,58262.552953
162340.061775,1000,58330.937737
162043.905289,1000,58399.097842
127472.225884,1000,58518.191995
110431.36396,1000,58585.432648
141422.677149,1000,58653.964319
121920.95994,1000,58723.305716
134684.147796,1000,58790.154965
134289.015205,1000,58858.660038
118823.385996,1000,58927.801656
170737.413782,1000,59045.819812
84973.362275,1000,59113.859779
140481.352097,1000,59181.815728
143302.966861,1000,59249.844603
160285.456486,1000,59317.665339
136845.233954,1000,59386.492204
188459.544188,1000,59506.743098
156271.590193,1000,59575.479216
136334.142542,1000,59644.350342
153668.018764,1000,59712.623806
161648.720518,1000,59780.312556
153318.703695,1000,59847.71188
144879.04538,1000,59966.966084
143050.558447,1000,60035.717227
159436.401117,1000,60103.777197
110614.327489,1000,60172.26949
191065.279038,1000,60241.057925
131263.948997,1000,60309.428884
148669.836946,1000,60430.707773
81767.2697,1000,60499.866368
133168.018764,1000,60568.175469
122021.677301,1000,60636.731165
138137.715734,1000,60704.485542
92873.692523,1000,60772.373168
94632.807496,1000,60840.753389
138394.318458,1000,60959.758002
138369.911508,1000,61027.972488
167882.304478,1000,61097.481611
65280.48077,1000,61165.881356
157461.455057,1000,61233.492768
106913.265912,1000,61301.646799
89474.141213,1000,61420.044339
103335.781922,1000,61488.436262
147045.832269,1000,61557.44603
169196.387558,1000,61625.979238
153122.244116,1000,61694.679568
95386.768764,1000,61763.334873
117024.133872,1000,61882.178177
78680.654143,1000,61950.520963
141460.781922,1000,62017.24631
188813.040409,1000,62085.499074
60371.297453,1000,62154.183578
137190.660273,1000,62223.07692
80511.577046,1000,62341.030154
179098.57432,1000,62409.783823
211945.796542,1000,62478.206818
153418.018764,1000,62546.824912
